anidbid,mal_id,thetvdb_id
1036,1378,171491
1037,2303,157211
1038,2015,85064
1039,2089,107781
1041,1564,76703
1043,894,81472
1044,895,81472
1045,898,81472
1046,899,81472
1050,1055,80304
1052,60,73993
1055,1804,120021
1056,161,74633
1057,193,75003
1058,3101,258124
1059,394,79267
1060,2543,88251
1061,283,84569
1063,,275472
1064,715,120081
1065,1364,72454
1069,902,81472
1070,903,81472
1071,905,81472
1072,311,85301
1073,8542,85301
1074,313,85301
1075,1918,71283
1076,1760,81849
1077,1761,81849
1078,2471,252696
1079,1582,181001
1081,130,80587
1083,3432,227501
1084,882,76665
1085,385,79306
1086,265,79685
1087,56,80642
1090,2609,199571
1091,2451,82971
1092,348,80047
1093,497,81627
1094,579,81147
1099,114,76057
1100,620,120151
1101,2304,157211
1103,1166,84527
1104,1103,80281
1105,2229,157001
1106,2233,314636
1111,1128,81477
1112,865,85536
1118,9613,300946
1119,5760,273042
1122,709,84660
1125,3288,121611
1126,2503,399729
1129,893,76666
1135,454,79099
1137,795,84318
1138,1324,120061
1139,344,81628
1140,1027,102191
1141,502,76666
1142,892,76666
1143,2108,72172
1144,1854,85369
1148,2961,72241
1149,2397,72241
1150,2962,72241
1151,2398,72241
1154,2072,263639
1155,3513,355878
1156,1900,250643
1158,2414,82959
1161,2048,114771
1163,2182,96241
1166,,199571
1167,661,199571
1171,2705,276357
1172,2706,276357
1173,2709,276357
1174,1795,72442
1176,801,73749
1177,4503,89091
1179,1811,278048
1180,1050,79355
1182,557,80790
1189,1938,258463
1192,425,135951
1194,1442,183171
1195,1289,393352
1206,748,83617
1209,1706,80043
1213,2834,216221
1214,1678,72745
1216,,157211
1219,3151,265936
1221,1338,266288
1222,1058,160431
1224,602,258512
1225,5147,80787
1227,3032,277575
1233,1855,266289
1235,1850,166871
1236,2252,94701
1237,1820,396707
1238,1853,258511
1240,2076,79460
1241,2714,414345
1242,1643,398308
1243,589,115431
1246,1831,182411
1247,1232,82586
1249,2071,73670
1251,693,79048
1252,3267,207111
1253,461,81797
1254,462,81797
1257,3969,72217
1258,1823,264526
1259,520,72421
1265,323,75092
1266,514,83628
1268,204,82829
1271,4486,112541
1273,1458,213261
1274,2740,250972
1275,2292,113131
1282,255,79050
1293,2462,316209
1294,2245,82080
1295,1805,149421
1297,158,84025
1298,677,221491
1299,1891,185481
1300,2017,120151
1305,3907,227491
1306,284,81867
1307,3014,81618
1308,3016,81618
1309,3015,81618
1310,3371,268996
1311,3665,268996
1312,54,245451
1314,112,81649
1317,305,111431
1319,295,79161
1320,451,71361
1321,148,81961
1322,1082,81113
1323,3203,167131
1324,592,314921
1326,2090,107781
1327,330,79058
1329,1149,81024
1330,242,81239
1331,1786,260798
1332,636,73703
1333,,80608
1334,3638,128411
1335,1271,79776
1339,10360,247001
1341,2907,270692
1342,927,72776
1344,333,305858
1349,1508,79478
1350,1443,80443
1351,2571,73518
1352,5052,250580
1353,1344,394945
1356,714,248423
1357,1399,72347
